raw_name,taxon_name,level_1,level_2
Pinguicula vulgaris,pinguicula_vulgaris,Pinguicula,Pinguicula
Pinguicula vulgaris-type,pinguicula_vulgaris_type,Pinguicula,Pinguicula
Pinus,pinus,Pinus sylvestris-type,Pinus
Pinus-type,pinus_type,Pinus sylvestris-type,Pinus
Pinus (excluding P. cembra),pinus_excluding_p_cembra,Pinus sylvestris-type,Pinus
Pinus cembra,pinus_cembra,Pinus cembra-type,Pinus
Pinus cembra-type,pinus_cembra_type,Pinus cembra-type,Pinus
Pinus halepensis,pinus_halepensis,Pinus halepensis-type,Pinus
Pinus halepensis-type,pinus_halepensis_type,Pinus halepensis-type,Pinus
Pinus mugo,pinus_mugo,Pinus sylvestris-type,Pinus
Pinus peuce,pinus_peuce,Pinus cembra-type,Pinus
Pinus pinaster,pinus_pinaster,Pinus pinaster,Pinus
Pinus pinaster-type,pinus_pinaster_type,Pinus pinaster,Pinus
Pinus sibirica,pinus_sibirica,Pinus cembra-type,Pinus
Pinus subg. Pinus,pinus_subg_pinus,Pinus sylvestris-type,Pinus
Pinus subg. Pinus-type,pinus_subg_pinus_type,Pinus sylvestris-type,Pinus
Pinus subg. Strobus,pinus_subg_strobus,Pinus cembra-type,Pinus
Pinus subg. Strobus-type,pinus_subg_strobus_type,Pinus cembra-type,Pinus
Pinus sylvestris,pinus_sylvestris,Pinus sylvestris-type,Pinus
Pinus sylvestris-type,pinus_sylvestris_type,Pinus sylvestris-type,Pinus
Pinus undiff.,pinus_undiff,Pinus,Pinus
Pistacia,pistacia,Pistacia,Pistacia
Pistacia lentiscus,pistacia_lentiscus,Pistacia,Pistacia
Pistacia terebinthus,pistacia_terebinthus,Pistacia,Pistacia
Pisum sativum,pisum_sativum,Pisum sativum,Lathyrus/Vicia-type
Plantaginaceae,plantaginaceae,Plantaginaceae,Plantaginaceae
Plantago,plantago,Plantago,Plantago
Plantago-type,plantago_type,Plantago,Plantago
Plantago albicans,plantago_albicans,Plantago albicans,Plantago
Plantago alpina,plantago_alpina,Plantago maritima-type,Plantago
Plantago alpina-type,plantago_alpina_type,Plantago maritima-type,Plantago
Plantago atrata,plantago_atrata,Plantago atrata-type,Plantago
Plantago atrata-type,plantago_atrata_type,Plantago atrata-type,Plantago
Plantago cf. P. coronopus,plantago_cf_p_coronopus,Plantago,Plantago
Plantago coronopus,plantago_coronopus,Plantago coronopus-type,Plantago
Plantago coronopus-type,plantago_coronopus_type,Plantago coronopus-type,Plantago
Plantago coronopus sensu stricto,plantago_coronopus_sensu_stricto,Plantago coronopus-type,Plantago
Plantago lagopus-type,plantago_lagopus_type,Plantago lanceolata-type,Plantago
Plantago lanceolata,plantago_lanceolata,Plantago lanceolata-type,Plantago
Plantago lanceolata-type,plantago_lanceolata_type,Plantago lanceolata-type,Plantago
Plantago major,plantago_major,Plantago major,Plantago
Plantago major-type,plantago_major_type,Plantago major-type,Plantago
Plantago major/P. media,plantago_major_p_media,Plantago major-type,Plantago
Plantago major/P. media-type,plantago_major_p_media_type,Plantago major-type,Plantago
Plantago maritima,plantago_maritima,Plantago maritima-type,Plantago
Plantago maritima-type,plantago_maritima_type,Plantago maritima-type,Plantago
Plantago maritima/P. alpina,plantago_maritima_p_alpina,Plantago maritima-type,Plantago
Plantago media,plantago_media,Plantago media,Plantago
Plantago media-type,plantago_media_type,Plantago major-type,Plantago
Plantago media/P. montana,plantago_media_p_montana,Plantago,Plantago
Plantago montana,plantago_montana,Plantago,Plantago
Plantago ovata-type,plantago_ovata_type,Plantago maritima-type,Plantago
Plantago pro parte,plantago_pro_parte,Plantago,Plantago
Plantago sp.,plantago_sp,Plantago,Plantago
Plantago subulata-type,plantago_subulata_type,Plantago,Plantago
Plantago tenuiflora,plantago_tenuiflora,Plantago tenuiflora,Plantago
Plantago undiff.,plantago_undiff,Plantago,Plantago
Plantago uniflora,plantago_uniflora,Plantago,Plantago
Platanus,platanus,Platanus,Platanus
Platycarya,platycarya,Platycarya,Platycarya
Pleurospermum,pleurospermum,Pleurospermum-type,Apiaceae
Pleurospermum-type,pleurospermum_type,Pleurospermum-type,Apiaceae
Pleurospermum austriacum,pleurospermum_austriacum,Pleurospermum-type,Apiaceae
Pleurospermum austriacum-type,pleurospermum_austriacum_type,Pleurospermum-type,Apiaceae
Plumbaginaceae,plumbaginaceae,Plumbaginaceae,Plumbaginaceae
Poa/Festuca-type,poa_festuca_type,Poaceae,Poaceae
Poaceae,poaceae,Poaceae,Poaceae
Poaceae (<37 µm),poaceae_smaller_than_37_mu_m,Poaceae,Poaceae
Poaceae (>40 µm),poaceae_bigger_than_40_mu_m,Poaceae,Poaceae
Poaceae (annulus >10 µm),poaceae_annulus_bigger_than_10_mu_m,Poaceae,Poaceae
Poaceae (annulus 8-10 µm),poaceae_annulus_8_minus_10_mu_m,Poaceae,Poaceae
Poaceae (Cerealia-type),poaceae_cerealia_type,Cerealia-type,Poaceae
Poaceae (Cerealia-type) undiff.,poaceae_cerealia_type_undiff,Cerealia-type,Poaceae
Poaceae (Cerealia),poaceae_cerealia,Cerealia-type,Poaceae
Poaceae (Cerealia) cf. Secale,poaceae_cerealia_cf_secale,Cerealia-type,Poaceae
Poaceae (Cerealia) undiff.,poaceae_cerealia_undiff,Cerealia-type,Poaceae
"Poaceae (Cerealia, >50 µm)",poaceae_cerealia_bigger_than_50_mu_m,Cerealia-type,Poaceae
"Poaceae (Cerealia, 37-40 µm)",poaceae_cerealia_37_minus_40_mu_m,Cerealia-type,Poaceae
"Poaceae (Cerealia, 40-50 µm)",poaceae_cerealia_40_minus_50_mu_m,Cerealia-type,Poaceae
Poaceae (large),poaceae_large,Cerealia-type,Poaceae
Poaceae pro parte,poaceae_pro_parte,Poaceae,Poaceae
Poaceae undiff.,poaceae_undiff,Poaceae,Poaceae
Poaceae undiff. (<40 µm),poaceae_undiff_smaller_than_40_mu_m,Poaceae,Poaceae
Poaceae undiff. (>40 µm),poaceae_undiff_bigger_than_40_mu_m,Poaceae,Poaceae
Podocarpus-type,podocarpus_type,Podocarpus,Podocarpus
Polemoniaceae,polemoniaceae,Polemoniaceae,Polemoniaceae
Polemonium,polemonium,Polemonium,Polemoniaceae
Polemonium-type,polemonium_type,Polemonium,Polemoniaceae
Polemonium boreale,polemonium_boreale,Polemonium,Polemoniaceae
Polemonium caeruleum,polemonium_caeruleum,Polemonium,Polemoniaceae
Polygala,polygala,Polygala,Polygala
Polygala vulgaris,polygala_vulgaris,Polygala comosa-type,Polygala
Polygala vulgaris-type,polygala_vulgaris_type,Polygala comosa-type,Polygala
Polygalaceae,polygalaceae,Polygala,Polygala
Polygonaceae,polygonaceae,Polygonaceae,Polygonaceae
Polygonaceae cf. Bistorta officinalis,polygonaceae_cf_bistorta_officinalis,Polygonum bistorta-type,Polygonum-type (tricolporate)
Polygonaceae undiff.,polygonaceae_undiff,Polygonaceae,Polygonaceae
Polygonatum,polygonatum,Polygonatum-type,Liliaceae-type
Polygonatum-type,polygonatum_type,Polygonatum-type,Liliaceae-type
Polygonatum verticillatum,polygonatum_verticillatum,Polygonatum verticillatum,Liliaceae-type
Polygonoideae pro parte,polygonoideae_pro_parte,Polygonaceae,Polygonaceae
Polygonum,polygonum,Polygonum-type (tricolporate),Polygonum-type (tricolporate)
Polygonum-type (tricolporate),polygonum_type_tricolporate,Polygonum-type (tricolporate),Polygonum-type (tricolporate)
Polygonum-type sensu lato,polygonum_type_sensu_lato,Polygonum-type (tricolporate),Polygonum-type (tricolporate)
Polygonum aviculare,polygonum_aviculare,Polygonum aviculare-type,Polygonum-type (tricolporate)
Polygonum aviculare-type,polygonum_aviculare_type,Polygonum aviculare-type,Polygonum-type (tricolporate)
Polygonum aviculare/Bistorta officinalis,polygonum_aviculare_bistorta_officinalis,Polygonum aviculare-type,Polygonum-type (tricolporate)
Polygonum cf. P. aviculare,polygonum_cf_p_aviculare,Polygonum aviculare-type,Polygonum-type (tricolporate)
Polygonum oxyspermum,polygonum_oxyspermum,Polygonum oxyspermum-type,Polygonum-type (tricolporate)
Polygonum oxyspermum-type,polygonum_oxyspermum_type,Polygonum oxyspermum-type,Polygonum-type (tricolporate)
Polygonum oxyspermum subsp. raii,polygonum_oxyspermum_subsp_raii,Polygonum oxyspermum ssp. raii,Polygonum oxyspermum ssp. raii
Polygonum sensu lato undiff.,polygonum_sensu_lato_undiff,Polygonum-type (tricolporate),Polygonum-type (tricolporate)
Populus,populus,Populus,Populus
Populus balsamifera-type,populus_balsamifera_type,Populus balsamifera-type,Populus
Populus tremula,populus_tremula,Populus tremula-type,Populus
Populus tremula-type,populus_tremula_type,Populus tremula-type,Populus
Portulaca,portulaca,Portulaca,Portulaca/Montia
Potentilla,potentilla,Potentilla-type,Rosaceae (operculate)
Potentilla-type,potentilla_type,Potentilla-type,Rosaceae (operculate)
Potentilla aurea,potentilla_aurea,Potentilla-type,Rosaceae (operculate)
Potentilla erecta,potentilla_erecta,Potentilla-type,Rosaceae (operculate)
Potentilla grandiflora,potentilla_grandiflora,Potentilla-type,Rosaceae (operculate)
Potentilla recta,potentilla_recta,Potentilla-type,Rosaceae (operculate)
Potentilla undiff.,potentilla_undiff,Potentilla-type,Rosaceae (operculate)
Poterium,poterium,Sanguisorba minor-type,Sanguisorba-type
Poterium sanguisorba,poterium_sanguisorba,Sanguisorba minor-type,Sanguisorba-type
Prenanthes purpurea,prenanthes_purpurea,Crepis-type,Compositae subfam. Cichorioideae
Primula,primula,Primula,Primula
Primula-type,primula_type,Primula,Primula
Primula clusiana-type,primula_clusiana_type,Primula hirsuta-type,Primula
Primula farinosa,primula_farinosa,Primula farinosa-type,Primula
Primula farinosa-type,primula_farinosa_type,Primula farinosa-type,Primula
Primula hirsuta-type,primula_hirsuta_type,Primula hirsuta-type,Primula
Primula integrifolia-type,primula_integrifolia_type,Primula integrifolia-type,Primula
Primula veris-type,primula_veris_type,Primula veris-type,Primula
Primula vulgaris-type,primula_vulgaris_type,Primula veris-type,Primula
Primulaceae,primulaceae,Primulaceae,Primulaceae
Primulaceae undiff,primulaceae_undiff,Primulaceae,Primulaceae
Prunella,prunella,Prunella-type,Labiatae (6)
Prunella-type,prunella_type,Prunella-type,Labiatae (6)
Prunella vulgaris,prunella_vulgaris,Prunella-type,Labiatae (6)
Prunus,prunus,Prunus-type,Rosaceae (non-operculate)
Prunus-type,prunus_type,Prunus-type,Rosaceae (non-operculate)
Prunus avium/P. spinosa,prunus_avium_p_spinosa,Prunus-type,Rosaceae (non-operculate)
Prunus cf. P. padus,prunus_cf_p_padus,Prunus-type,Rosaceae (non-operculate)
Prunus padus,prunus_padus,Prunus padus,Rosaceae (non-operculate)
Prunus spinosa,prunus_spinosa,Prunus-type,Rosaceae (non-operculate)
Prunus/Sorbus,prunus_sorbus,Rosaceae (non-operculate),Rosaceae (non-operculate)
Pseudofumaria lutea-type,pseudofumaria_lutea_type,Corydalis lutea-type,Corydalis
Psylliostachys spicata,psylliostachys_spicata,Armeria-type,Plumbaginaceae
Pterocarya,pterocarya,Pterocarya,Pterocarya
Pterocarya fraxinifolia,pterocarya_fraxinifolia,Pterocarya,Pterocarya
Pulmonaria,pulmonaria,Anchusa/Pulmonaria,Boraginaceae
Pulmonaria-type,pulmonaria_type,Anchusa/Pulmonaria,Boraginaceae
Pulmonaria obscura,pulmonaria_obscura,Anchusa/Pulmonaria,Boraginaceae
Pulmonaria obscura-type,pulmonaria_obscura_type,Anchusa/Pulmonaria,Boraginaceae
Pulmonaria officinalis,pulmonaria_officinalis,Anchusa/Pulmonaria,Boraginaceae
Pyrola,pyrola,Pyrola-type,Ericales (tetrads)
Pyrus-type,pyrus_type,Prunus-type,Rosaceae (non-operculate)
Quercus,quercus,Quercus robur-type,Quercus
Quercus (deciduous-type),quercus_deciduous_type,Quercus robur-type,Quercus
Quercus (deciduous),quercus_deciduous,Quercus robur-type,Quercus
Quercus (evergreen-type),quercus_evergreen_type,Quercus ilex-type,Quercus
Quercus (evergreen),quercus_evergreen,Quercus ilex-type,Quercus
Quercus cerris,quercus_cerris,Quercus cerris-type,Quercus
Quercus cerris-type,quercus_cerris_type,Quercus cerris-type,Quercus
Quercus cerris/Q. suber,quercus_cerris_q_suber,Quercus cerris-type,Quercus
Quercus coccifera,quercus_coccifera,Quercus ilex-type,Quercus
Quercus coccifera-type,quercus_coccifera_type,Quercus ilex-type,Quercus
Quercus faginea-type,quercus_faginea_type,Quercus robur-type,Quercus
Quercus frainetto,quercus_frainetto,Quercus robur-type,Quercus
Quercus ilex,quercus_ilex,Quercus ilex-type,Quercus
Quercus ilex-type,quercus_ilex_type,Quercus ilex-type,Quercus
Quercus ilex/Q. coccifera,quercus_ilex_q_coccifera,Quercus ilex-type,Quercus
Quercus infectoria subsp. veneris-type,quercus_infectoria_subsp_veneris_type,Astrantia-type,Apiaceae
Quercus pubescens-type,quercus_pubescens_type,Quercus robur-type,Quercus
Quercus pyrenaica-type,quercus_pyrenaica_type,Quercus robur-type,Quercus
Quercus robur,quercus_robur,Quercus robur-type,Quercus
Quercus robur-type,quercus_robur_type,Quercus robur-type,Quercus
Quercus suber,quercus_suber,Quercus cerris-type,Quercus
Quercus suber-type,quercus_suber_type,Quercus cerris-type,Quercus
Quercus undiff.,quercus_undiff,Quercus,Quercus
Radiola,radiola,Radiola linoides,Radiola linoides
Radiola linoides,radiola_linoides,Radiola linoides,Radiola linoides
Ranunculaceae,ranunculaceae,Ranunculaceae,Ranunculaceae
Ranunculaceae (type 1),ranunculaceae_type_1,Ranunculaceae,Ranunculaceae
Ranunculaceae (type 2),ranunculaceae_type_2,Ranunculaceae,Ranunculaceae
Ranunculaceae pro parte,ranunculaceae_pro_parte,Ranunculaceae,Ranunculaceae
Ranunculaceae undiff.,ranunculaceae_undiff,Ranunculaceae,Ranunculaceae
Ranunculus,ranunculus,Ranunculus-type,Ranunculus-type
Ranunculus-type,ranunculus_type,Ranunculus-type,Ranunculus-type
Ranunculus aconitifolius,ranunculus_aconitifolius,Ranunculus sceleratus-type,Ranunculus-type
Ranunculus aconitifolius-type,ranunculus_aconitifolius_type,Ranunculus sceleratus-type,Ranunculus-type
Ranunculus acris,ranunculus_acris,Ranunculus acris-type,Ranunculus-type
Ranunculus acris-type,ranunculus_acris_type,Ranunculus acris-type,Ranunculus-type
Ranunculus acris/R. flammula/R. sceleratus group,ranunculus_acris_r_flammula_r_sceleratus_group,Ranunculus acris-type,Ranunculus-type
Ranunculus arvensis,ranunculus_arvensis,Ranunculus arvensis,Ranunculus arvensis-type
Ranunculus arvensis-type,ranunculus_arvensis_type,Ranunculus arvensis-type,Ranunculus arvensis-type
Ranunculus asiaticus-type,ranunculus_asiaticus_type,Ranunculus asiaticus,Ranunculus-type
Ranunculus flammula,ranunculus_flammula,Ranunculus flammula-type,Ranunculus-type
Ranunculus flammula-type,ranunculus_flammula_type,Ranunculus flammula-type,Ranunculus-type
Ranunculus glacialis,ranunculus_glacialis,Ranunculus glacialis-type,Ranunculus-type
Ranunculus glacialis-type,ranunculus_glacialis_type,Ranunculus glacialis-type,Ranunculus-type
Ranunculus lanuginosus,ranunculus_lanuginosus,Ranunculus acris-type,Ranunculus-type
Ranunculus lingua,ranunculus_lingua,Ranunculus lingua,Ranunculus-type
Ranunculus lingua-type,ranunculus_lingua_type,Ranunculus lingua,Ranunculus-type
Ranunculus montanus-type,ranunculus_montanus_type,Ranunculus acris-type,Ranunculus-type
Ranunculus repens-type,ranunculus_repens_type,Ranunculus acris-type,Ranunculus-type
Ranunculus sceleratus-type,ranunculus_sceleratus_type,Ranunculus sceleratus-type,Ranunculus-type
Ranunculus sceleratus/R. repens,ranunculus_sceleratus_r_repens,Ranunculus-type,Ranunculus-type
Ranunculus sect. Batrachium-type,ranunculus_sect_batrachium_type,Ranunculus aquatilis-type,Ranunculus-type
Ranunculus sp.,ranunculus_sp,Ranunculus-type,Ranunculus-type
Ranunculus undiff.,ranunculus_undiff,Ranunculus-type,Ranunculus-type
Reseda,reseda,Reseda,Resedaceae
Reseda-type,reseda_type,Resedaceae,Resedaceae
Reseda lutea-type,reseda_lutea_type,Reseda,Resedaceae
Reseda/Sesamoides,reseda_sesamoides,Resedaceae,Resedaceae
Resedaceae,resedaceae,Resedaceae,Resedaceae
Rhamnaceae,rhamnaceae,Rhamnaceae,Rhamnaceae
Rhamnus,rhamnus,Rhamnus-type,Rhamnaceae
Rhamnus-type,rhamnus_type,Rhamnus-type,Rhamnaceae
Rhamnus cathartica,rhamnus_cathartica,Rhamnus-type,Rhamnaceae
Rhamnus cathartica-type,rhamnus_cathartica_type,Rhamnus-type,Rhamnaceae
Rhamnus/Frangula,rhamnus_frangula,Rhamnaceae,Rhamnaceae
Rhamnus/Paliurus,rhamnus_paliurus,Rhamnus-type,Rhamnaceae
Rhaponticum scariosum,rhaponticum_scariosum,Centaurea nigra-type,Centaurea nigra-type
Rheum,rheum,Rheum,Rheum
Rhinanthus,rhinanthus,Rhinanthus-type,Rhinanthus-group
Rhinanthus-type,rhinanthus_type,Rhinanthus-type,Rhinanthus-group
Rhinanthus/Veronica,rhinanthus_veronica,Rhinanthus-type,Rhinanthus-group
Rhododendron,rhododendron,Rhododendron,Ericales (tetrads)
Rhododendron-type,rhododendron_type,Rhododendron,Ericales (tetrads)
Rhododendron ferrugineum,rhododendron_ferrugineum,Rhododendron,Ericales (tetrads)
Rhododendron subsect. Ledum,rhododendron_subsect_ledum,Ledum palustre,Ericales (tetrads)
Rhododendron tomentosum,rhododendron_tomentosum,Ledum palustre,Ericales (tetrads)
Rhus,rhus,Rhus,Rhus/Cotinus
Rhus coriaria-type,rhus_coriaria_type,Rhus coriaria-type,Rhus/Cotinus
Ribes,ribes,Ribes,Ribes
Ribes alpinum,ribes_alpinum,Ribes alpinum,Ribes
Ribes cf. R. alpinum,ribes_cf_r_alpinum,Ribes,Ribes
Ribes uva-crispa,ribes_uva_minus_crispa,Ribes uva-crispa,Ribes
Roemeria hybrida,roemeria_hybrida,Roemeria-type,Roemeria-type
Rosa,rosa,Rosa,Rosaceae (operculate)
Rosa-type,rosa_type,Rosa,Rosaceae (operculate)
Rosaceae,rosaceae,Rosaceae,Rosaceae
Rosaceae-type,rosaceae_type,Rosaceae,Rosaceae
Rosaceae (herbs) undiff.,rosaceae_herbs_undiff,Rosaceae,Rosaceae
Rosaceae (trees),rosaceae_trees,Rosaceae (non-operculate),Rosaceae (non-operculate)
Rosaceae (trees) undiff.,rosaceae_trees_undiff,Rosaceae (non-operculate),Rosaceae (non-operculate)
Rosaceae (type A),rosaceae_type_a,Rosaceae,Rosaceae
Rosaceae (type B),rosaceae_type_b,Rosaceae,Rosaceae
Rosaceae pro parte,rosaceae_pro_parte,Rosaceae,Rosaceae
Rosaceae undiff.,rosaceae_undiff,Rosaceae,Rosaceae
Rosmarinus,rosmarinus,Salvia officinalis-type,Labiatae (6)
Rubia,rubia,Rubiaceae,Rubiaceae
Rubiaceae,rubiaceae,Rubiaceae,Rubiaceae
Rubus,rubus,Rubus,Rosaceae (non-operculate)
Rubus-type,rubus_type,Rubus,Rosaceae (non-operculate)
Rubus arcticus,rubus_arcticus,Rubus arcticus,Rosaceae (non-operculate)
Rubus cf. R. idaeus,rubus_cf_r_idaeus,Rubus,Rosaceae (non-operculate)
Rubus cf. R. saxatilis,rubus_cf_r_saxatilis,Rubus,Rosaceae (non-operculate)
Rubus chamaemorus,rubus_chamaemorus,Rubus chamaemorus,Rubus chamaemorus
Rubus fruticosus,rubus_fruticosus,Rubus,Rosaceae (non-operculate)
Rubus fruticosus-type,rubus_fruticosus_type,Rubus,Rosaceae (non-operculate)
Rubus idaeus-type,rubus_idaeus_type,Rubus,Rosaceae (non-operculate)
Rubus saxatilis,rubus_saxatilis,Rubus,Rosaceae (non-operculate)
Rubus sp.,rubus_sp,Rubus,Rosaceae (non-operculate)
Rumex,rumex,Rumex/Oxyria,Rumex/Oxyria
Rumex-type,rumex_type,Rumex/Oxyria,Rumex/Oxyria
Rumex acetosa,rumex_acetosa,Rumex acetosa-type,Rumex/Oxyria
Rumex acetosa-type,rumex_acetosa_type,Rumex acetosa-type,Rumex/Oxyria
Rumex acetosa/Oxyria-type,rumex_acetosa_oxyria_type,Rumex acetosa-type,Rumex/Oxyria
Rumex acetosa/R. acetosella,rumex_acetosa_r_acetosella,Rumex acetosa-type,Rumex/Oxyria
Rumex acetosa/R. acetosella-type,rumex_acetosa_r_acetosella_type,Rumex acetosa-type,Rumex/Oxyria
Rumex acetosella,rumex_acetosella,Rumex acetosella,Rumex/Oxyria
Rumex acetosella-type,rumex_acetosella_type,Rumex acetosella-type,Rumex/Oxyria
Rumex alpinus,rumex_alpinus,Rumex alpinus-type,Rumex/Oxyria
Rumex alpinus-type,rumex_alpinus_type,Rumex alpinus-type,Rumex/Oxyria
Rumex aquaticus,rumex_aquaticus,Rumex aquaticus-type,Rumex aquaticus-type
Rumex aquaticus-type,rumex_aquaticus_type,Rumex aquaticus-type,Rumex aquaticus-type
Rumex cf. R. alpinus,rumex_cf_r_alpinus,Rumex acetosa-type,Rumex/Oxyria
Rumex cf. R. hydrolapathum,rumex_cf_r_hydrolapathum,Rumex aquaticus-type,Rumex aquaticus-type
Rumex cf. R. longifolius,rumex_cf_r_longifolius,Rumex aquaticus-type,Rumex aquaticus-type
Rumex cf. R. obtusifolius,rumex_cf_r_obtusifolius,Rumex crispus-type,Rumex/Oxyria
Rumex conglomeratus-type,rumex_conglomeratus_type,Rumex crispus-type,Rumex/Oxyria
Rumex crispus,rumex_crispus,Rumex crispus-type,Rumex/Oxyria
Rumex crispus-type,rumex_crispus_type,Rumex crispus-type,Rumex/Oxyria
Rumex hydrolapathum,rumex_hydrolapathum,Rumex aquaticus-type,Rumex aquaticus-type
Rumex longifolius,rumex_longifolius,Rumex aquaticus-type,Rumex aquaticus-type
Rumex longifolius-type,rumex_longifolius_type,Rumex aquaticus-type,Rumex aquaticus-type
Rumex maritimus-type,rumex_maritimus_type,Rumex crispus-type,Rumex/Oxyria
Rumex obtusifolius,rumex_obtusifolius,Rumex crispus-type,Rumex/Oxyria
Rumex obtusifolius-type,rumex_obtusifolius_type,Rumex crispus-type,Rumex/Oxyria
Rumex sanguineus-type,rumex_sanguineus_type,Rumex crispus-type,Rumex/Oxyria
Rumex scutatus-type,rumex_scutatus_type,Rumex alpestris,Rumex/Oxyria
Rumex subg. Acetosa,rumex_subg_acetosa,Rumex acetosa-type,Rumex/Oxyria
Rumex subg. Rumex,rumex_subg_rumex,Rumex crispus-type,Rumex/Oxyria
Rumex undiff.,rumex_undiff,Rumex/Oxyria,Rumex/Oxyria
Rumex/Oxyria,rumex_oxyria,Rumex/Oxyria,Rumex/Oxyria
Rumex/Oxyria-type,rumex_oxyria_type,Rumex/Oxyria,Rumex/Oxyria
Rumex/Oxyria digyna,rumex_oxyria_digyna,Rumex/Oxyria,Rumex/Oxyria
Ruta graveolens,ruta_graveolens,Ruta graveolens,Ruta
Rutaceae,rutaceae,Rutaceae,Rutaceae
Sagina,sagina,Sagina,Caryophyllaceae (periporate excl. Paronychioideae)
Sagina-type,sagina_type,Sagina,Caryophyllaceae (periporate excl. Paronychioideae)
Sagina nodosa group,sagina_nodosa_group,Sagina,Caryophyllaceae (periporate excl. Paronychioideae)
Sagina procumbens-type,sagina_procumbens_type,Sagina,Caryophyllaceae (periporate excl. Paronychioideae)
Sagina saginoides,sagina_saginoides,Sagina,Caryophyllaceae (periporate excl. Paronychioideae)
Salicornia-type,salicornia_type,Chenopodiaceae/Amaranthaceae,Chenopodiaceae/Amaranthaceae
Salicornia europaea,salicornia_europaea,Chenopodiaceae/Amaranthaceae,Chenopodiaceae/Amaranthaceae
Salix,salix,Salix,Salix
Salix glauca-type,salix_glauca_type,Salix,Salix
Salix helvetica-type,salix_helvetica_type,Salix,Salix
Salix herbacea,salix_herbacea,Salix,Salix
Salix herbacea-type,salix_herbacea_type,Salix,Salix
Salix pentandra-type,salix_pentandra_type,Salix,Salix
Salix polaris-type,salix_polaris_type,Salix,Salix
Salix reticulata,salix_reticulata,Salix,Salix
Salix retusa-type,salix_retusa_type,Salix,Salix
Salix undiff.,salix_undiff,Salix,Salix
Salsola,salsola,Chenopodiaceae/Amaranthaceae,Chenopodiaceae/Amaranthaceae
Salsola kali,salsola_kali,Salsola kali,Chenopodiaceae/Amaranthaceae
Salvia,salvia,Salvia-type,Labiatae (6)
Salvia-type,salvia_type,Salvia-type,Labiatae (6)
Sambucus,sambucus,Sambucus,Sambucus
Sambucus-type,sambucus_type,Sambucus,Sambucus
Sambucus cf. S. ebulus,sambucus_cf_s_ebulus,Sambucus,Sambucus
Sambucus cf. S. nigra,sambucus_cf_s_nigra,Sambucus nigra/S. racemosa,Sambucus
Sambucus cf. S. racemosa,sambucus_cf_s_racemosa,Sambucus nigra/S. racemosa,Sambucus
Sambucus ebulus,sambucus_ebulus,Sambucus ebulus,Sambucus
Sambucus ebulus-type,sambucus_ebulus_type,Sambucus ebulus,Sambucus
Sambucus nigra,sambucus_nigra,Sambucus nigra,Sambucus
Sambucus nigra-type,sambucus_nigra_type,Sambucus nigra/S. racemosa,Sambucus
Sambucus nigra/S. racemosa,sambucus_nigra_s_racemosa,Sambucus nigra/S. racemosa,Sambucus
Sambucus racemosa,sambucus_racemosa,Sambucus racemosa,Sambucus
Sambucus racemosa-type,sambucus_racemosa_type,Sambucus nigra/S. racemosa,Sambucus
Sambucus undiff.,sambucus_undiff,Sambucus,Sambucus
Sanguisorba,sanguisorba,Sanguisorba officinalis,Sanguisorba-type
Sanguisorba-type,sanguisorba_type,Sanguisorba-type,Sanguisorba-type
Sanguisorba minor-type,sanguisorba_minor_type,Sanguisorba minor-type,Sanguisorba-type
Sanguisorba officinalis,sanguisorba_officinalis,Sanguisorba officinalis,Sanguisorba-type
Sanguisorba officinalis-type,sanguisorba_officinalis_type,Sanguisorba officinalis,Sanguisorba-type
Sanicula-type,sanicula_type,Astrantia-type,Apiaceae
Sanicula europaea,sanicula_europaea,Sanicula europaea,Apiaceae
Santalaceae,santalaceae,Santalaceae,Santalaceae
Sarcopoterium-type,sarcopoterium_type,Sanguisorba minor-type,Sanguisorba-type
Saussurea,saussurea,Saussurea-type,Cynareae
Saussurea-type,saussurea_type,Saussurea-type,Cynareae
Saussurea nuda,saussurea_nuda,Saussurea alpina,Cynareae
Saxifraga,saxifraga,Saxifraga,Saxifraga
Saxifraga-type,saxifraga_type,Saxifraga,Saxifraga
Saxifraga aizoides,saxifraga_aizoides,Saxifraga oppositifolia-type,Saxifraga
Saxifraga aizoides-type,saxifraga_aizoides_type,Saxifraga oppositifolia-type,Saxifraga
Saxifraga cernua-type,saxifraga_cernua_type,Saxifraga granulata-type,Saxifraga
Saxifraga cernua/S. rivularis,saxifraga_cernua_s_rivularis,Saxifraga granulata-type,Saxifraga
Saxifraga cespitosa-type,saxifraga_cespitosa_type,Saxifraga granulata-type,Saxifraga
Saxifraga cf. S. aizoides,saxifraga_cf_s_aizoides,Saxifraga,Saxifraga
Saxifraga cf. S. cespitosa,saxifraga_cf_s_cespitosa,Saxifraga,Saxifraga
Saxifraga cf. S. hirculus,saxifraga_cf_s_hirculus,Saxifraga,Saxifraga
Saxifraga cf. S. nivalis,saxifraga_cf_s_nivalis,Saxifraga,Saxifraga
Saxifraga cf. S. oppositifolia,saxifraga_cf_s_oppositifolia,Saxifraga,Saxifraga
Saxifraga granulata,saxifraga_granulata,Saxifraga granulata-type,Saxifraga
Saxifraga granulata-type,saxifraga_granulata_type,Saxifraga granulata-type,Saxifraga
Saxifraga hirculus,saxifraga_hirculus,Saxifraga granulata-type,Saxifraga
Saxifraga hirculus-type,saxifraga_hirculus_type,Saxifraga granulata-type,Saxifraga
