neotoma_names,taxon_name
Centaurea nigra-type,centaurea_nigra_type
Centaurea nigra-type sensu lato,centaurea_nigra_type_sensu_lato
Centaurea perrottetii,centaurea_perrottetii
Centaurea scabiosa,centaurea_scabiosa
Centaurea scabiosa-type,centaurea_scabiosa_type
Centaurea sinaica,centaurea_sinaica
Centaurea solstitialis,centaurea_solstitialis
Centaurea solstitialis-type,centaurea_solstitialis_type
Centaurea sp.,centaurea_sp
Centaurea stoebe,centaurea_stoebe
Centaurea stoebe-type,centaurea_stoebe_type
Centaurea undiff.,centaurea_undiff
Centaurium,centaurium
Centaurium-type,centaurium_type
Centaurium erythraea,centaurium_erythraea
Centaurium pulchellum,centaurium_pulchellum
Centaurium pulchellum-type,centaurium_pulchellum_type
Centella,centella
Centemopsis-type gracilenta,centemopsis_type_gracilenta
Centranthus,centranthus
Centrolepidaceae,centrolepidaceae
Centrolepis,centrolepis
Centrolobium,centrolobium
Centrolobium sp.,centrolobium_sp
Centropogon,centropogon
Centrosema,centrosema
Centrosema-type,centrosema_type
Cephalanthera sp.,cephalanthera_sp
Cephalanthus,cephalanthus
Cephalanthus occidentalis,cephalanthus_occidentalis
Cephalaria,cephalaria
Cerastium,cerastium
Cerastium-type,cerastium_type
Cerastium-type (C. octandrum),cerastium_type_c_octandrum
Cerastium-type octandrum,cerastium_type_octandrum
Cerastium afromontanum-type,cerastium_afromontanum_type
Cerastium alpinum-type,cerastium_alpinum_type
Cerastium arvense,cerastium_arvense
Cerastium arvense-type,cerastium_arvense_type
Cerastium cerastoides-type,cerastium_cerastoides_type
Cerastium cf. C. arvense,cerastium_cf_c_arvense
Cerastium fontanum,cerastium_fontanum
Cerastium fontanum-type,cerastium_fontanum_type
Cerastium fontanum group,cerastium_fontanum_group
Cerastium indicum,cerastium_indicum
Cerastium octandrum,cerastium_octandrum
Cerastium octandrum-type,cerastium_octandrum_type
Cerastium undiff.,cerastium_undiff
Ceratiola ericoides,ceratiola_ericoides
Ceratiola ericoides-type,ceratiola_ericoides_type
Ceratocephala,ceratocephala
Ceratocephala-type,ceratocephala_type
Ceratonia,ceratonia
Ceratonia siliqua,ceratonia_siliqua
Cerberiopsis,cerberiopsis
Cercestis congoensis,cercestis_congoensis
Cercidiphyllum,cercidiphyllum
Cercis,cercis
Cercis siliquastrum,cercis_siliquastrum
Cercocarpus,cercocarpus
Cercocarpus-type,cercocarpus_type
Cercocarpus/Purshia,cercocarpus_purshia
Cerinthe,cerinthe
Cerinthe-type,cerinthe_type
Ceriops,ceriops
Ceroxylon,ceroxylon
Ceroxylon-type,ceroxylon_type
Cespedesia,cespedesia
Cestrum,cestrum
Cestrum (type 2),cestrum_type_2
Cestrum undiff.,cestrum_undiff
cf. Abies,cf_abies
cf. Acalypha,cf_acalypha
cf. Acanthaceae,cf_acanthaceae
cf. Acantholimon,cf_acantholimon
cf. Aconitum,cf_aconitum
cf. Acorus,cf_acorus
cf. Adenocarpus,cf_adenocarpus
cf. Adenostemma,cf_adenostemma
cf. Adonis,cf_adonis
cf. Aeonium,cf_aeonium
cf. Aethusa cynapium,cf_aethusa_cynapium
cf. Agave,cf_agave
cf. Albizia,cf_albizia
cf. Alchemilla,cf_alchemilla
cf. Allium,cf_allium
cf. Alnus,cf_alnus
cf. Amaranthaceae,cf_amaranthaceae
cf. Ambrosia,cf_ambrosia
cf. Amelanchier,cf_amelanchier
cf. Amorpha,cf_amorpha
cf. Amperea,cf_amperea
cf. Anacardiaceae (type A),cf_anacardiaceae_type_a
cf. Anacardiaceae (type B),cf_anacardiaceae_type_b
cf. Anagallis,cf_anagallis
cf. Anagallis tenella,cf_anagallis_tenella
cf. Andromeda polifolia,cf_andromeda_polifolia
cf. Androsace,cf_androsace
cf. Annonaceae/Rubiaceae,cf_annonaceae_rubiaceae
cf. Anthericum,cf_anthericum
cf. Anthurium,cf_anthurium
cf. Anthyllis,cf_anthyllis
cf. Apeiba tibourbou,cf_apeiba_tibourbou
cf. Apiaceae,cf_apiaceae
cf. Aquilegia,cf_aquilegia
cf. Arabis,cf_arabis
cf. Arabis glabra,cf_arabis_glabra
cf. Araceae,cf_araceae
cf. Araliaceae,cf_araliaceae
cf. Arceuthobium,cf_arceuthobium
cf. Arctostaphylos,cf_arctostaphylos
cf. Ardisia,cf_ardisia
cf. Arisaema,cf_arisaema
cf. Armeria,cf_armeria
cf. Armeria (type A),cf_armeria_type_a
cf. Artemisia,cf_artemisia
cf. Arum,cf_arum
cf. Asparagus,cf_asparagus
cf. Aspidosperma,cf_aspidosperma
cf. Astelia,cf_astelia
cf. Astragalus,cf_astragalus
cf. Astragalus-type,cf_astragalus_type
cf. Astronium fraxinifolium (type A),cf_astronium_fraxinifolium_type_a
cf. Astronium fraxinifolium (type B),cf_astronium_fraxinifolium_type_b
cf. Atriplex,cf_atriplex
cf. Avena,cf_avena
cf. Avena sativa,cf_avena_sativa
cf. Azorella,cf_azorella
cf. Badula,cf_badula
cf. Balanites,cf_balanites
cf. Balbisia,cf_balbisia
cf. Bauhinia,cf_bauhinia
cf. Begonia,cf_begonia
cf. Bellis,cf_bellis
cf. Bidens/Erigeron,cf_bidens_erigeron
cf. Bistorta bistortoides,cf_bistorta_bistortoides
cf. Bocconia,cf_bocconia
cf. Bomarea,cf_bomarea
cf. Boscia,cf_boscia
cf. Brassicaceae,cf_brassicaceae
cf. Brodiaea,cf_brodiaea
cf. Bursera,cf_bursera
cf. Cadaba,cf_cadaba
cf. Calceolaria,cf_calceolaria
cf. Caltha,cf_caltha
cf. Calystegia,cf_calystegia
cf. Campanula,cf_campanula
cf. Canarium,cf_canarium
cf. Cannabis,cf_cannabis
cf. Cannabis sativa,cf_cannabis_sativa
cf. Canthium,cf_canthium
cf. Capparis,cf_capparis
cf. Capsella,cf_capsella
cf. Carapa,cf_carapa
cf. Cardamine,cf_cardamine
cf. Carduus,cf_carduus
cf. Carex meridensis,cf_carex_meridensis
cf. Carica,cf_carica
cf. Carpinus,cf_carpinus
cf. Carya,cf_carya
cf. Caryophyllaceae,cf_caryophyllaceae
cf. Casearia,cf_casearia
cf. Cassia,cf_cassia
cf. Castanea,cf_castanea
cf. Castanopsis,cf_castanopsis
cf. Castilleja,cf_castilleja
cf. Casuarina equisetifolia,cf_casuarina_equisetifolia
cf. Caucalis,cf_caucalis
cf. Ceanothus,cf_ceanothus
cf. Ceanothus velutinus,cf_ceanothus_velutinus
cf. Cedrela,cf_cedrela
cf. Cedrus,cf_cedrus
cf. Ceiba,cf_ceiba
cf. Celastraceae,cf_celastraceae
cf. Celtis,cf_celtis
cf. Centaurea cyanus,cf_centaurea_cyanus
cf. Centaurea nigra-type,cf_centaurea_nigra_type
cf. Centaurium,cf_centaurium
cf. Cephalanthus,cf_cephalanthus
cf. Cerastium,cf_cerastium
cf. Ceratocapnos claviculata,cf_ceratocapnos_claviculata
cf. Cercis,cf_cercis
cf. Cercocarpus ledifolius,cf_cercocarpus_ledifolius
cf. Chamaesyce,cf_chamaesyce
cf. Chelidonium-type,cf_chelidonium_type
cf. Chrysanthemum,cf_chrysanthemum
cf. Chrysosplenium,cf_chrysosplenium
cf. Cirsium,cf_cirsium
cf. Cistaceae,cf_cistaceae
cf. Cleome,cf_cleome
cf. Clethra,cf_clethra
cf. Clusia,cf_clusia
cf. Coccoloba,cf_coccoloba
cf. Collinsia,cf_collinsia
cf. Convolvulus,cf_convolvulus
cf. Copaifera,cf_copaifera
cf. Corchorus,cf_corchorus
cf. Cornus,cf_cornus
cf. Corrigiola,cf_corrigiola
cf. Corydalis,cf_corydalis
cf. Couratari,cf_couratari
cf. Cupressaceae,cf_cupressaceae
cf. Cuscuta,cf_cuscuta
cf. Cuscuta europaea,cf_cuscuta_europaea
cf. Cyperaceae-type,cf_cyperaceae_type
cf. Cytisus,cf_cytisus
cf. Daphne,cf_daphne
cf. Descurainia,cf_descurainia
cf. Dialium,cf_dialium
cf. Diapensia lapponica,cf_diapensia_lapponica
cf. Digitalis,cf_digitalis
cf. Dioclea,cf_dioclea
cf. Dipsacus/Cephalaria,cf_dipsacus_cephalaria
cf. Dodecatheon,cf_dodecatheon
cf. Dorycnium,cf_dorycnium
cf. Dryas,cf_dryas
cf. Elaeagnaceae,cf_elaeagnaceae
cf. Elaeoluma,cf_elaeoluma
cf. Empetrum,cf_empetrum
cf. Ephedra fragilis,cf_ephedra_fragilis
cf. Epilobium,cf_epilobium
cf. Eriogonum,cf_eriogonum
cf. Erythroxylum,cf_erythroxylum
cf. Euphorbia,cf_euphorbia
cf. Euphorbiaceae,cf_euphorbiaceae
cf. Euphrasia,cf_euphrasia
cf. Fabaceae,cf_fabaceae
cf. Fabaceae (type 1),cf_fabaceae_type_1
cf. Fabaceae (type 2),cf_fabaceae_type_2
cf. Fabaceae (type 3),cf_fabaceae_type_3
cf. Fagus,cf_fagus
cf. Faramea,cf_faramea
cf. Ficus,cf_ficus
cf. Filipendula,cf_filipendula
cf. Flacourtia,cf_flacourtia
cf. Frangula,cf_frangula
cf. Frangula alnus,cf_frangula_alnus
cf. Fraxinus,cf_fraxinus
cf. Freycinetia,cf_freycinetia
cf. Fuchsia,cf_fuchsia
cf. Galeopsis,cf_galeopsis
cf. Genista,cf_genista
cf. Gentiana,cf_gentiana
cf. Gentiana pneumonanthe,cf_gentiana_pneumonanthe
cf. Gentianaceae,cf_gentianaceae
cf. Gentianella-type,cf_gentianella_type
cf. Gentianella campestris,cf_gentianella_campestris
cf. Geranium,cf_geranium
cf. Geum,cf_geum
cf. Gilia,cf_gilia
cf. Glyceria,cf_glyceria
cf. Gnaphalium,cf_gnaphalium
cf. Gossypium,cf_gossypium
cf. Guazuma,cf_guazuma
cf. Hedysarum,cf_hedysarum
cf. Heisteria,cf_heisteria
cf. Helianthemum,cf_helianthemum
cf. Heliotropium/Lafoensia,cf_heliotropium_lafoensia
cf. Heracleum sphondylium,cf_heracleum_sphondylium
cf. Herniaria,cf_herniaria
cf. Heuchera richardsonii,cf_heuchera_richardsonii
cf. Hieracium,cf_hieracium
cf. Hippomane,cf_hippomane
cf. Hippophae rhamnoides,cf_hippophae_rhamnoides
cf. Homalium,cf_homalium
cf. Hordeum,cf_hordeum
cf. Hornungia-type,cf_hornungia_type
cf. Humulus,cf_humulus
cf. Humulus lupulus,cf_humulus_lupulus
cf. Hypericum,cf_hypericum
cf. Hypericum-type,cf_hypericum_type
cf. Hyptis,cf_hyptis
cf. Iberis,cf_iberis
cf. Ilex,cf_ilex
cf. Juglans,cf_juglans
cf. Juncus,cf_juncus
cf. Juniperus,cf_juniperus
cf. Knautia,cf_knautia
cf. Lachemilla,cf_lachemilla
cf. Laguncularia,cf_laguncularia
cf. Lamiaceae,cf_lamiaceae
cf. Lamium,cf_lamium
cf. Lamium-type,cf_lamium_type
cf. Larix,cf_larix
cf. Larix-type,cf_larix_type
cf. Lathyrus,cf_lathyrus
cf. Leonardoxa,cf_leonardoxa
cf. Lewisia,cf_lewisia
cf. Ligusticum,cf_ligusticum
cf. Liliaceae,cf_liliaceae
cf. Limodorum,cf_limodorum
cf. Limosella aquatica,cf_limosella_aquatica
cf. Linanthus,cf_linanthus
cf. Linum,cf_linum
cf. Littorella,cf_littorella
cf. Lobelia,cf_lobelia
cf. Lobelia siphilitica,cf_lobelia_siphilitica
cf. Lonicera,cf_lonicera
cf. Loranthaceae,cf_loranthaceae
cf. Lotus,cf_lotus
cf. Lupinus,cf_lupinus
cf. Lycopsis arvensis,cf_lycopsis_arvensis
cf. Lysimachia,cf_lysimachia
cf. Lysimachia vulgaris-type,cf_lysimachia_vulgaris_type
cf. Macherium (type 7),cf_macherium_type_7
cf. Maianthemum,cf_maianthemum
cf. Malpighiaceae,cf_malpighiaceae
cf. Malus,cf_malus
cf. Medicago,cf_medicago
cf. Melampyrum,cf_melampyrum
cf. Melia,cf_melia
cf. Meliaceae,cf_meliaceae
cf. Meliaceae/Sapotaceae,cf_meliaceae_sapotaceae
cf. Melochia,cf_melochia
cf. Mentha,cf_mentha
cf. Mercurialis,cf_mercurialis
cf. Mertensia paniculata,cf_mertensia_paniculata
cf. Mesembryanthemum,cf_mesembryanthemum
cf. Microtea,cf_microtea
cf. mimosoid clade,cf_mimosoid_clade
cf. Mirabilis,cf_mirabilis
cf. Montia,cf_montia
cf. Montia-type,cf_montia_type
cf. Morus,cf_morus
cf. Myosotis-type,cf_myosotis_type
cf. Myrica,cf_myrica
cf. Myricaria germanica,cf_myricaria_germanica
cf. Myrsine (tricolpate),cf_myrsine_tricolpate
cf. Myrtus,cf_myrtus
cf. Nemopanthus,cf_nemopanthus
cf. Nyssa,cf_nyssa
cf. Ochna,cf_ochna
cf. Odontites,cf_odontites
cf. Olea,cf_olea
cf. Onagraceae type,cf_onagraceae_type
cf. Orobanche,cf_orobanche
cf. Ostrya/Carpinus,cf_ostrya_carpinus
cf. Oxalis,cf_oxalis
cf. Oxyria,cf_oxyria
cf. Oxyria digyna,cf_oxyria_digyna
cf. Oxyria/Rumex acetosa,cf_oxyria_rumex_acetosa
cf. Oxytropis,cf_oxytropis
cf. Palicourea,cf_palicourea
cf. Pandanus,cf_pandanus
cf. Papaver,cf_papaver
cf. Papaveraceae,cf_papaveraceae
cf. Parnassia,cf_parnassia
cf. Parthenocissus,cf_parthenocissus
cf. Pedicularis,cf_pedicularis
cf. Pemphis,cf_pemphis
cf. Penthorum sedoides,cf_penthorum_sedoides
cf. Persicaria,cf_persicaria
cf. Persicaria amphibia,cf_persicaria_amphibia
cf. Peucedanum,cf_peucedanum
cf. Peucedanum-type,cf_peucedanum_type
cf. Phacelia,cf_phacelia
cf. Phacelia hastata,cf_phacelia_hastata
cf. Phillyrea,cf_phillyrea
cf. Phlomis,cf_phlomis
cf. Phlox,cf_phlox
cf. Phyllocladus,cf_phyllocladus
cf. Physalis,cf_physalis
cf. Pimpinella major-type,cf_pimpinella_major_type
cf. Piperaceae,cf_piperaceae
cf. Pistacia,cf_pistacia
cf. Pisum,cf_pisum
cf. Plantago,cf_plantago
cf. Platanus,cf_platanus
cf. Podophyllum,cf_podophyllum
cf. Polemonium,cf_polemonium
cf. Polygala,cf_polygala
cf. Polygonaceae,cf_polygonaceae
cf. Polygonum,cf_polygonum
cf. Populus,cf_populus
cf. Populus tremula,cf_populus_tremula
cf. Portulaca,cf_portulaca
cf. Portulaca oleracea,cf_portulaca_oleracea
cf. Poterium sanguisorba,cf_poterium_sanguisorba
cf. Pouteria,cf_pouteria
cf. Primula,cf_primula
cf. Protium,cf_protium
cf. Prunus,cf_prunus
cf. Psychotria,cf_psychotria
cf. Psydrax,cf_psydrax
cf. Pterocarya,cf_pterocarya
cf. Pterocarya fraxinifolia,cf_pterocarya_fraxinifolia
cf. Pterocarya/Juglans,cf_pterocarya_juglans
cf. Pyrus,cf_pyrus
cf. Quercus,cf_quercus
cf. Quintinia,cf_quintinia
cf. Ranunculaceae,cf_ranunculaceae
cf. Ranunculus,cf_ranunculus
cf. Rapanea,cf_rapanea
cf. Raphanus,cf_raphanus
cf. Resedaceae,cf_resedaceae
cf. Rhamnaceae,cf_rhamnaceae
cf. Rhamnus,cf_rhamnus
cf. Rhamnus alnifolia,cf_rhamnus_alnifolia
cf. Rheum,cf_rheum
cf. Rhinanthus,cf_rhinanthus
cf. Rhinanthus-type,cf_rhinanthus_type
cf. Rhizophora,cf_rhizophora
cf. Rhododendron,cf_rhododendron
cf. Rhododendron lapponicum,cf_rhododendron_lapponicum
cf. Rhododendron subsect. Ledum,cf_rhododendron_subsect_ledum
cf. Rhus,cf_rhus
cf. Ribes,cf_ribes
cf. Ricinus communis,cf_ricinus_communis
cf. Rorippa,cf_rorippa
cf. Rosa,cf_rosa
cf. Rosaceae,cf_rosaceae
cf. Rubiaceae,cf_rubiaceae
cf. Rubus,cf_rubus
cf. Rubus arcticus,cf_rubus_arcticus
cf. Rubus chamaemorus,cf_rubus_chamaemorus
cf. Rubus idaeus,cf_rubus_idaeus
cf. Rumex,cf_rumex
cf. Rumex undiff.,cf_rumex_undiff
cf. Ruta,cf_ruta
cf. Rutaceae,cf_rutaceae
cf. Sagina,cf_sagina
cf. Salix,cf_salix
cf. Salix herbacea,cf_salix_herbacea
cf. Salix polaris,cf_salix_polaris
cf. Sambucus,cf_sambucus
cf. Sambucus nigra,cf_sambucus_nigra
cf. Sambucus racemosa,cf_sambucus_racemosa
cf. Samolus,cf_samolus
cf. Sanguisorba,cf_sanguisorba
cf. Sapindaceae,cf_sapindaceae
cf. Sapium,cf_sapium
cf. Sapotaceae,cf_sapotaceae
cf. Sarcobatus vermiculatus,cf_sarcobatus_vermiculatus
cf. Saussurea,cf_saussurea
cf. Saxifraga,cf_saxifraga
cf. Saxifraga granulata,cf_saxifraga_granulata
cf. Saxifraga oppositifolia,cf_saxifraga_oppositifolia
cf. Saxifraga oppositifolia-type,cf_saxifraga_oppositifolia_type
cf. Saxifraga stellaris-type,cf_saxifraga_stellaris_type
cf. Saxifragaceae,cf_saxifragaceae
cf. Schefflera,cf_schefflera
cf. Scleranthus,cf_scleranthus
cf. Scolopia,cf_scolopia
cf. Scrophulariaceae,cf_scrophulariaceae
cf. Scutellaria,cf_scutellaria
cf. Sebastiania,cf_sebastiania
cf. Secale,cf_secale
cf. Sedum,cf_sedum
cf. Sedum-type,cf_sedum_type
cf. Senecio,cf_senecio
cf. Shepherdia,cf_shepherdia
cf. Silene,cf_silene
cf. Simarouba amara,cf_simarouba_amara
cf. Solanaceae,cf_solanaceae
cf. Solanum dulcamara,cf_solanum_dulcamara
cf. Sorbus,cf_sorbus
cf. Sorbus aucuparia,cf_sorbus_aucuparia
cf. Spondias,cf_spondias
cf. Stachys,cf_stachys
cf. Stachys glutinosa,cf_stachys_glutinosa
cf. Stachytarpheta,cf_stachytarpheta
cf. Stadmania,cf_stadmania
cf. Stellaria,cf_stellaria
cf. Sterculia,cf_sterculia
cf. Streblus,cf_streblus
cf. Succisa,cf_succisa
cf. Swertia,cf_swertia
cf. Symmeria,cf_symmeria
cf. Tabernaemontana,cf_tabernaemontana
cf. Tachigali,cf_tachigali
cf. Talisia,cf_talisia
cf. Tanaecium,cf_tanaecium
cf. Taraxacum,cf_taraxacum
cf. Taxus,cf_taxus
cf. Thalictrum,cf_thalictrum
cf. Thalictrum-type,cf_thalictrum_type
cf. Thrinax/Iriartea,cf_thrinax_iriartea
cf. Thymelaeaceae,cf_thymelaeaceae
cf. Thymus,cf_thymus
cf. Tofieldia,cf_tofieldia
cf. Trema,cf_trema
cf. Trema/Lozanella,cf_trema_lozanella
cf. Trichilia,cf_trichilia
cf. Tripsacum,cf_tripsacum
cf. Tristerix,cf_tristerix
cf. Triticum,cf_triticum
cf. Triticum turgidum subsp. dicoccon,cf_triticum_turgidum_subsp_dicoccon
cf. Trollius europaeus,cf_trollius_europaeus
cf. Tsuga,cf_tsuga
cf. Tussilago,cf_tussilago
cf. Tynanthus,cf_tynanthus
cf. Ulmus sp.,cf_ulmus_sp
cf. Urtica,cf_urtica
cf. Vaccinium,cf_vaccinium
cf. Valeriana,cf_valeriana
cf. Veratrum,cf_veratrum
cf. Verbascum,cf_verbascum
cf. Verbena,cf_verbena
cf. Verbenaceae,cf_verbenaceae
cf. Vernonia,cf_vernonia
cf. Veronica,cf_veronica
cf. Veronicastrum virginicum,cf_veronicastrum_virginicum
cf. Viburnum,cf_viburnum
cf. Viburnum opulus,cf_viburnum_opulus
cf. Vicia-type,cf_vicia_type
cf. Viola,cf_viola
cf. Viscum,cf_viscum
cf. Vitex,cf_vitex
cf. Vitis,cf_vitis
cf. Weinmannia,cf_weinmannia
cf. Xanthium,cf_xanthium
cf. Xanthium-type,cf_xanthium_type
cf. Zamia,cf_zamia
cf. Zanthoxylum,cf_zanthoxylum
cf. Zelkova,cf_zelkova
cf. Ziziphus,cf_ziziphus
cf. Zollernia,cf_zollernia
Chaenactis,chaenactis
Chaerophyllum,chaerophyllum
Chaerophyllum-type,chaerophyllum_type
Chaerophyllum aureum,chaerophyllum_aureum
Chaerophyllum bulbosum,chaerophyllum_bulbosum
Chaerophyllum bulbosum-type,chaerophyllum_bulbosum_type
Chaerophyllum hirsutum,chaerophyllum_hirsutum
Chaerophyllum hirsutum-type,chaerophyllum_hirsutum_type
Chaerophyllum temulum,chaerophyllum_temulum
Chaerophyllum temulum-type,chaerophyllum_temulum_type
Chaetachme,chaetachme
Chaetachme aristata,chaetachme_aristata
Chamaebatiaria millefolium,chamaebatiaria_millefolium
Chamaecrista,chamaecrista
Chamaecrista-type,chamaecrista_type
Chamaecrista-type mimosoides,chamaecrista_type_mimosoides
Chamaecrista fasciculata-type,chamaecrista_fasciculata_type
Chamaecyparis-type,chamaecyparis_type
Chamaecyparis thyoides,chamaecyparis_thyoides
Chamaedaphne,chamaedaphne
Chamaedaphne calyculata,chamaedaphne_calyculata
Chamaedorea,chamaedorea
Chamaenerion,chamaenerion
Chamaenerion-type,chamaenerion_type
Chamaenerion angustifolium,chamaenerion_angustifolium
Chamaenerion angustifolium-type,chamaenerion_angustifolium_type
Chamaenerion latifolium,chamaenerion_latifolium
Chamaerops,chamaerops
Chamaerops humilis,chamaerops_humilis
Chamaesyce,chamaesyce
Chamaesyce-type,chamaesyce_type
Chamaesyce (type 1),chamaesyce_type_1
Chamaesyce (type 2),chamaesyce_type_2
Chamaesyce (type 3),chamaesyce_type_3
Chamaesyce (type 4),chamaesyce_type_4
Chamissoa,chamissoa
Chamissoa-type,chamissoa_type
Chaptalia,chaptalia
Chardinia,chardinia
Chassalia,chassalia
Cheiloclinium,cheiloclinium
Chelidonium,chelidonium
Chelidonium-type,chelidonium_type
Chelidonium majus,chelidonium_majus
Chelonanthus,chelonanthus
Chelyocarpus,chelyocarpus
Chenopodiaceae sensu stricto,chenopodiaceae_sensu_stricto
Chenopodium,chenopodium
Chenopodium-type,chenopodium_type
Chenopodium album,chenopodium_album
Chenopodium album-type,chenopodium_album_type
Chenopodium quinoa-type,chenopodium_quinoa_type
Chenopodium sp.,chenopodium_sp
Chenopodium undiff.,chenopodium_undiff
Chenopodium/Amaranthus,chenopodium_amaranthus
Chimaphila,chimaphila
Chiococca,chiococca
Chionogentias,chionogentias
Chironia,chironia
Chloraea,chloraea
Chloranthaceae,chloranthaceae
Chloranthaceae undiff.,chloranthaceae_undiff
Chlorophytum,chlorophytum
Chlorophytum-type,chlorophytum_type
Chomelia,chomelia
Chomelia-type,chomelia_type
Chorizandra,chorizandra
Chrozophora,chrozophora
Chrozophora brocchiana-type,chrozophora_brocchiana_type
Chrozophora tinctoria,chrozophora_tinctoria
Chrysanthemum,chrysanthemum
Chrysanthemum-type,chrysanthemum_type
Chrysobalanaceae,chrysobalanaceae
Chrysobalanaceae undiff.,chrysobalanaceae_undiff
Chrysobalanus,chrysobalanus
Chrysobalanus-type,chrysobalanus_type
Chrysobalanus/Parinari,chrysobalanus_parinari
Chrysolepis,chrysolepis
Chrysolepis-type,chrysolepis_type
Chrysolepis/Lithocarpus,chrysolepis_lithocarpus
Chrysophyllum,chrysophyllum
Chrysophyllum bangweolense-type,chrysophyllum_bangweolense_type
Chrysophyllum marginatum,chrysophyllum_marginatum
Chrysophyllum undiff.,chrysophyllum_undiff
Chrysophyllum viride-type,chrysophyllum_viride_type
Chrysosplenium,chrysosplenium
Chrysosplenium-type,chrysosplenium_type
Chrysosplenium alternifolium,chrysosplenium_alternifolium
Chrysosplenium oppositifolium,chrysosplenium_oppositifolium
Chrysosplenium undiff.,chrysosplenium_undiff
Chrysothamnus-type,chrysothamnus_type
Cicendia,cicendia
Cicendia filiformis,cicendia_filiformis
Cicer arietinum,cicer_arietinum
Cichorieae,cichorieae
Cichorieae undiff.,cichorieae_undiff
Cichorioideae,cichorioideae
Cichorioideae-type,cichorioideae_type
Cichorioideae undiff.,cichorioideae_undiff
Cichorium,cichorium
Cichorium-type,cichorium_type
Cichorium intybus-type,cichorium_intybus_type
Cicuta virosa,cicuta_virosa
Cicuta virosa-type,cicuta_virosa_type
Circaea,circaea
Circaea-type,circaea_type
Circaea alpina,circaea_alpina
Circaea lutetiana,circaea_lutetiana
Circaea lutetiana-type,circaea_lutetiana_type
Cirsium,cirsium
Cirsium-type,cirsium_type
Cirsium acaulon,cirsium_acaulon
Cirsium cf. C. oleraceum,cirsium_cf_c_oleraceum
Cirsium cf. C. palustre,cirsium_cf_c_palustre
Cirsium helenioides,cirsium_helenioides
Cirsium sp.,cirsium_sp
Cirsium/Carduus,cirsium_carduus
Cirsium/Carduus-type,cirsium_carduus_type
Cirsium/Gundelia,cirsium_gundelia
Cissampelos,cissampelos
Cissampelos-type,cissampelos_type
Cissampelos-type mucronata,cissampelos_type_mucronata
Cissampelos cf. C. mucronata,cissampelos_cf_c_mucronata
Cissampelos mucronata,cissampelos_mucronata
Cissampelos mucronata-type,cissampelos_mucronata_type
Cissus,cissus
Cissus-type,cissus_type
Cissus-type quadrangularis,cissus_type_quadrangularis
Cissus quadrangularis-type,cissus_quadrangularis_type
Cissus striata,cissus_striata
Cistaceae,cistaceae
Cistaceae undiff.,cistaceae_undiff
Cistanche,cistanche
Cistanthe,cistanthe
Cistus,cistus
Cistus-type,cistus_type
Cistus albidus-type,cistus_albidus_type
Cistus cf. C. albidus,cistus_cf_c_albidus
Cistus cf. C. incanus,cistus_cf_c_incanus
Cistus ladanifer,cistus_ladanifer
Cistus ladanifer-type,cistus_ladanifer_type
Cistus monspeliensis,cistus_monspeliensis
Cistus monspeliensis-type,cistus_monspeliensis_type
Cistus salviifolius,cistus_salviifolius
Cistus salviifolius-type,cistus_salviifolius_type
Cistus undiff.,cistus_undiff
Citrullus,citrullus
Citrus,citrus
Claoxylon,claoxylon
Claoxylon-type,claoxylon_type
Classopollis,classopollis
Clathrotropis nitida-type,clathrotropis_nitida_type
Clausena,clausena
Clausena-type anisata,clausena_type_anisata
Clausena anisata,clausena_anisata
Claytonia,claytonia
Claytonia-type,claytonia_type
Claytonia acutifolia,claytonia_acutifolia
Claytonia arctica,claytonia_arctica
Claytonia sarmentosa,claytonia_sarmentosa
Claytonia undiff.,claytonia_undiff
Claytoniella vassilievii,claytoniella_vassilievii
Cleidion,cleidion
Cleistanthus,cleistanthus
Cleistanthus-type,cleistanthus_type
Cleistanthus-type libericus,cleistanthus_type_libericus
Cleistanthus-type polystachyus,cleistanthus_type_polystachyus
Cleistocalyx,cleistocalyx
Clematis,clematis
Clematis-type,clematis_type
Clematis hirsuta,clematis_hirsuta
Clematis mauritiana-type,clematis_mauritiana_type
Clematis vitalba group,clematis_vitalba_group
Cleome,cleome
Cleome-type,cleome_type
Cleome-type gynandra,cleome_type_gynandra
Cleome africana,cleome_africana
Cleome gynandra,cleome_gynandra
Clerodendrum,clerodendrum
Clerodendrum floribundum,clerodendrum_floribundum
Clethra,clethra
Clethra-type,clethra_type
Clethra (type 2),clethra_type_2
Clethra undiff.,clethra_undiff
Clethraceae,clethraceae
Clibadium,clibadium
Clidemia,clidemia
Cliffortia,cliffortia
Cliffortia nitidula,cliffortia_nitidula
Cliffortia nitidula-type,cliffortia_nitidula_type
Clinopodium paradoxum,clinopodium_paradoxum
Clitandra,clitandra
Clitoria,clitoria
Clusia,clusia
Clusia-type,clusia_type
Clusia criuva,clusia_criuva
Clusiaceae,clusiaceae
Clusiaceae undiff.,clusiaceae_undiff
Clusiaceae/Hypericaceae cf. Hypericum,clusiaceae_hypericaceae_cf_hypericum
Clusiella sp.,clusiella_sp
Clutia,clutia
Clutia-type,clutia_type
Clutia abyssinica,clutia_abyssinica
Cnestidium,cnestidium
Cnestis,cnestis
Cnestis-type,cnestis_type
Cnidium,cnidium
Coccinia,coccinia
Coccinia-type,coccinia_type
Coccinia-type grandis,coccinia_type_grandis
Coccocypselum,coccocypselum
